,Num_of_Shares,Net_Change_Shares,Trade_Rate,Cash_in_hand,Brocker_fee,Share_Worth
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
0,222,0,0,150,0.0,6993.0
